stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell
24hpf,1,0,0,0,0,0,0,0
3Month,0,0.1,0.21,0.73,0.1,0.42,0.1,0
22Month,0,0,0.27,0.27,0,0.14,0,0.14
