stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,2,0,0
72hpf,2.25,1.13,1.13,1.13,1.41,0,0,0,0,0.28,0,0.56,3.95,0.56,7.05,0.28,253.1,7.61,0,0,3.1,0,0.28,1.69,0.28,0.28,0.28,0,0
21Day,6.29,0.37,5.55,0,5.92,0.74,0,0,0,0.37,0.37,0.37,4.44,0.37,10.36,0.74,209.41,5.92,0.37,2.22,2.96,4.81,0.74,1.85,4.44,21.09,0.37,0.37,1.11
3Month,0,0,0,0,0,0,0,0.21,0,0,0,0,0.21,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.31,0
22Month,0,0.14,0.14,0,0,0.14,0.14,2.6,0.27,0,0.27,0,0,0,0.14,0,0.82,0,0.14,0.14,0,0,1.64,0,0,0,0,0,0
