stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,0,8.46,2.54,2.54,0,0,0,0,0,1.69,6.2,0,7.05,0.28,1.13,159.53,8.17,0.28,0.28,3.95,0,0,1.13,0.28,0,3.66,0
21Day,2.22,1.85,0.37,13.69,2.96,6.29,0.37,0.37,0,0.74,1.11,1.48,6.29,2.22,17.39,0.37,0.37,126.17,4.44,0.37,3.33,4.44,2.96,0,1.85,1.48,0.74,0,0
3Month,0,0,0,0.62,0.31,0,0,0.1,0.52,0,0,1.14,0.1,0,0.31,0,0,0.31,0,0.1,0,0,0,2.7,0.1,0,0,0.1,0.73
22Month,0,0,0,0,0,0,0,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
