stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,2,7,0,0,0,0,2,69,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,2.54,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,0,34.67,3.1,0,1.13,0,0.56,0.56,0.28,9.58,5.64,0,0,0,9.3,0,1.13,0.28,0,0,0,0,0
21Day,0.37,0.74,0.37,7.03,1.48,1.48,0,1.11,0,1.11,0,0,0,0.74,0,1.11,0,1.11,1.85,0,1.48,0,0,0.74,0,9.62,1.11,0.37,0,0,3.33,1.11,5.92,1.11,0.37,0,0,0,0.74
3Month,0.1,2.18,0.62,17.27,0.31,0,0,0.42,0.1,1.25,1.04,0.1,0,4.26,0.83,0.31,2.08,1.87,1.14,1.04,3.74,0.21,0.1,2.6,0.31,2.39,0.21,0.73,0,0,0.73,0.62,64.7,0,0,1.25,0.94,6.76,1.77
22Month,0.14,3.69,2.19,24.46,0,0,0.27,0.14,0,3.14,1.37,13.53,0,6.83,0.41,0.27,1.5,0.41,0.41,0.82,1.64,0,0.68,1.23,0,1.37,0,0.27,0.41,0.27,0,0.14,38.67,0.27,0,0.27,0.14,0,0.55
