stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0.28,0,0,0,0,0,0,0.85,0,0
21Day,0,0.37,0,0.37,0,0.37,1.11,0.37,0.37,0
3Month,0,0,0.1,0,0.21,0,0,0,0,0.42
