stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,1.35,0.1,5.82,0.52,0.21,1.56,1.66,0,6.55,3.02,0.1,3.74,0.31,2.39,2.6,3.02,0.52,0.1,0.62,0.31,0.31,0.42,0.1,0.21,1.25,1.56,0.21,227.49,2.18,1.14
22Month,0,0,0.27,0,0,0.14,0.27,0.41,4.24,0.55,0,0.14,0.27,0,0.82,0.96,0,0,0,0,0,0.27,0,0,0,0.27,0,15.03,0,0.27
