stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0.56,0,0.28,0,0,0,0,0,0,0.56,0.28,0,0.56,0,0,0.28,0,69.62,3.1,1.13,0,1.13,0,0,0.56,0.28,0.28,0,0,0
21Day,1.48,0.74,3.33,0.37,2.22,1.11,0,0,0.74,0,0.37,0,0.74,0,5.92,0,0,7.77,0,42.92,1.85,0,0.74,1.85,0.74,0.37,0.74,2.59,3.33,0,0,0.37
3Month,0,2.39,1.35,0,0,0,0.52,0,1.98,0.52,0.73,0.21,0.42,0.73,4.58,3.33,0,2.29,0.62,0.73,0,0.1,0,0,0.1,0.42,0.1,0,0,0,0.31,0.31
22Month,0,3.96,0.41,0.14,0,0,0.41,0.41,3.69,0,0.55,0,0.14,0.14,2.73,0.41,0.14,0.68,0,3.01,0,0,0.14,0.27,0,0.41,0.14,0,0,0.14,0,0.14
