stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,9.02,0.85,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.74,0.74,0.74,0,0,0,0,0,0.37,0,0.37,0,0.74,0,2.59,0,0,0.74,0,18.13,1.48,0,0.74,0,0.74,1.48,0,0.37,0.37,0,0,0,0
3Month,0.1,0.42,1.35,0,0,0.1,0.1,0.31,0.1,0,10.09,0.42,0.1,0.83,0.52,0.94,0.62,0.21,0,0.42,2.7,0.31,0,0,0,0,0.31,0.1,6.97,0.1,0,0,0.21,1.77,0.52
22Month,0,0,0.27,0,0,0,0,0.27,0.41,57.67,6.97,0.27,0,1.5,0,0.82,0.82,0.14,0.41,0.41,1.09,0.68,0,0.14,0.27,0.14,0,0,4.1,0,0,0.14,0,0,0.14
