stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
72hpf,0,4.79,0,0.56,0.28,0,0,0,0,0,0,0.56,0,0.28,0.85,0,2.54,0,0.28,0.28,0,7.33,3.66,0,0.28,3.1,0,0,1.69,0.28,0,0,0
21Day,1.48,2.22,0,1.11,0,0,0,0,0.37,0,0,1.11,0.74,0.37,1.85,0,4.07,0,0,0.74,0,2.22,2.22,0.37,0.37,1.85,0,0,0.37,0,0,0,0.37
3Month,0,6.45,0,1.98,0,0.1,0.21,0.73,0,6.35,1.25,0.42,0.73,0.21,1.25,0.52,1.04,0.1,0,0,0.1,0.31,0,0.31,0,0.21,0.31,0.21,0,0,3.12,0.52,0.52
22Month,0.14,3.14,0.41,3.42,0,0.55,0,1.64,0.14,26.24,0.96,0.68,1.23,0,0.14,1.37,1.91,0.41,1.91,0.27,0,0.27,0,0.82,0.41,0,0,0.82,0,0,0.14,0,0.68
