stage,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.56,0,0,0.28,0
21Day,0,0.37,0.37,0,0,2.22,0,0
3Month,0.1,0,0.1,0,0,0,0,0.1
22Month,0,0,0,0,0,0,0,0.27
