stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Retinal_cone_cell,T_cell
72hpf,0.56,0,0,0.56,0,1.13,0,0
21Day,0,0,0,0,0.37,0,0.37,0
3Month,0,0,0.1,0,0,0,0,0.1
22Month,0,0.27,0,0,0,0,0,0
