stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,105,0,0,14,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,2,23,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,177,2.82,0,10.71,2.82,10.99,0.28,0,0,0.85,0.28,0,0.56,0,7.33,18.04,1.69,24.52,1.97,1.13,0.28,89.91,40.59,0,1.41,17.47,0.56,0,7.33,0.85,1.41,1.13,0,0,0
21Day,65.12,0,0.37,20.72,0.37,7.03,2.22,0,0,0.37,3.33,0.37,0.74,1.85,1.11,8.51,2.22,21.46,0.37,2.59,0,14.8,9.25,0.74,0.37,11.84,4.44,1.48,1.85,1.48,0.74,0.74,0.37,0,2.22
3Month,9.36,0.73,0.1,9.67,0.21,0,0.1,0,0.21,0.62,3.43,1.56,0.1,1.35,0.42,1.04,0.83,1.25,0,0.21,0.21,0.31,0.21,4.58,0.1,0,0.73,16.85,0.21,0.1,0,0,0.83,5.51,1.04
22Month,2.32,0.27,0,2.6,0.14,0,0,0.14,0.96,0.82,3.01,0.14,0,0,0.14,0,0.41,1.09,0.14,0,0,0,0,2.46,0.14,0,0,1.09,0,0,0,0,0,0.14,0
