stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,1,12,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0.28,0,0,0.56,0,0,0,0,0,0,0,0,1.41,0.28,1.69,0,18.32,4.51,0,0.56,1.13,0,0,0.28,0,0,0,0
21Day,0,0.74,0,0.37,0.74,0,0,0,0,0,0.74,0,0.37,0.37,1.48,1.48,0,8.51,3.7,0,0,0.37,0,0,1.11,0.37,0,0,0
3Month,0,0,0.1,1.35,0,0.1,0.1,0.21,1.46,0.1,0,0.42,0,0.42,0.62,0.1,0.1,0,0,0.31,0.1,0,0.1,0.42,0,0,0.31,0.73,0.21
22Month,0,0.14,0,0.27,0,0,0,0.41,2.05,0.14,0.14,0.14,0,0,0.41,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0
