stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,0,0.56,0,0,0,0,0,0,0,1.69,34.39,0,0,0,0,0,0,1.41,0.56,0,0,0.28,0,0,1.13,0,0,0,0
21Day,0,1.48,11.84,0,0,0,0,0,0.37,0,0,5.18,0,51.06,1.48,0.74,0,0,0,0.37,0.37,1.48,0,0,0.37,0.74,0,0.74,0.74,0,0,1.48
3Month,0.21,1.25,3.22,0.1,0,0.1,3.22,1.25,2.7,1.35,0.31,23.82,0.21,0.42,0.94,0.73,0.52,0,0.52,0.62,0.1,0,0.42,0.1,0,0.21,6.24,0,0,0.1,1.46,3.43
22Month,0.55,3.42,4.51,0.14,0,0,4.51,6.83,9.98,1.09,0.55,104.67,0.41,0.27,2.6,1.5,0.14,0.27,0.14,0,0.27,0,0.14,0.14,0.14,0.55,0.41,0.14,0,0,0,1.91
