stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.69,0,0,0,0,0,4.51,0,0.85,0.28,0,0,0
21Day,0,5.92,0.37,0,0,0.37,0,2.96,0,0,0.37,0.37,0.37,0.74
3Month,0.1,1.25,0,0.21,0.1,0,0.31,0.21,0.1,0,0,0,0.1,0.31
