stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,2.59,0.37,0,0.37,0,2.59,0,0,1.11,7.03,0,0.37,0.74,9.99,0,0,0,1.48,0,0.74,0,0,0,2.59
3Month,0.83,0.1,3.74,0,0.1,0.1,0.31,22.16,0,1.46,8.43,1.66,0.62,0.31,0.52,16.12,0.31,0.21,0.21,0,0.42,0.21,0.21,0,0.21,6.97
22Month,0.96,0,1.23,0,0.27,0,0.41,21.32,0.41,7.24,3.55,2.6,0.96,0,0,14.35,0.68,0,0,0,0,0.27,0,0.14,0,2.87
