stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0.28,0,0,0,0,0
21Day,0.74,0.37,0.37,1.11,0.37,0,0,0.74,0.37,1.11,2.22,0,0,7.03,0,0.37,0,0,0,0.37
3Month,0,0,0.94,0,0,0.52,0.21,0,0,0.1,0.62,0.1,0,0.31,0,0,0.21,0.1,2.29,0
22Month,0,0,0,0.14,0.14,0.55,0,0,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0
