stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32,21,1,611,9,6,0,1,0,0,1,0,24,1,0,1,0,92,322,484,239,0,0,0,5,110,1208,4,0,0,32,0,0,0,0,0,0,9,0,0,0
72hpf,95.26,31.29,0,683.76,63.7,57.22,0,1.69,0,0.56,14.66,0.28,0,1.69,0,11.27,1.13,219.56,1457.72,162.06,704.34,0,48.48,34.67,16.35,476.04,476.61,12.68,5.07,0,679.25,14.66,0,0.56,91.32,1.41,1.41,36.08,0,0,0
21Day,127.65,30.34,29.97,2201.42,32.93,158.35,0,30.34,0,18.13,83.99,2.59,0,52.91,45.88,358.89,39.59,93.61,1418.53,418.83,929.04,1.11,1.48,118.03,5.92,263.8,229.76,16.28,22.2,0,450.64,132.83,0,2.22,29.97,18.87,42.18,11.47,3.33,0,348.53
3Month,10.3,136.99,81.55,2401.13,7.28,0,27.98,8.01,7.28,516.55,987.02,3.02,0,1727.41,1619.44,99.34,692.44,177.56,1002.93,832.03,410.45,93.93,9.36,145.31,100.27,34.01,10.71,76.76,23.92,0,28.6,82.28,6.14,182.55,8.84,1.14,0,7.18,96.32,67.09,1200.98
22Month,3.83,253.62,71.19,1019.81,3.01,0,28.7,6.83,2.32,207.02,1308.96,300.9,0.14,3181.75,395.46,123.94,716.32,38.4,250.89,680.65,385.9,17.22,159.06,65.59,7.79,20.91,7.24,53.29,22,6.56,9.84,14.89,0.27,17.49,39.63,8.2,0,3.28,18.17,0.14,379.75
