stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,1.97,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37,1.11,0.37,0,0
3Month,0,0.21,1.56,0,0.21,0.31,0,0.73,0.31,0.83,0.52,0.31,0.1,0.1,0.21,0.1,0,2.6,0,30.79,0.21
22Month,0.14,0,0.27,0,0,0,0.14,0.41,0.14,0.14,0,0,0,0,0,0,0,2.6,0,0.14,0
