stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,7,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,0.94,4.37,0,0.52,0.1,1.04,1.98,0,191.81,2.39,0,4.89,0.52,1.25,3.43,3.54,0.31,0.31,0.21,1.46,0.1,0.1,0.1,0.21,0,2.91,9.26,0.1,0,0.52,15.91,2.29
22Month,0,0.14,0.14,0.55,0,0.14,0,0.14,3.01,1.09,89.64,0.96,0.14,2.46,0.14,0.14,2.87,0.68,0,4.24,0,0.14,0,0,0,0.27,0.27,0,0,0,0.14,0,0,0.55
