stage,Epithelial_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,6,0,1,0
72hpf,0,0.85,0,0.28,0.28
21Day,1.11,0.37,0.37,0,0
