stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,3,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0.56,1.69,0,0,0,0,1.97,0,0,0,0.28,0,0,0.56,0,0,0
21Day,0.37,0,0.37,2.59,0.37,0,0,0.37,0,0,0,1.85,0.37,1.48,0,0,1.48,0.37,0,0,0,0.37,0,0.37,0,0,0
3Month,0,0.1,0,6.45,0.1,0,0.42,1.14,0.21,0.73,0,0.52,0.42,0.31,0.52,0.1,0,0,0.21,0.21,0,0,0.62,0,0.21,6.14,0.62
22Month,0,0,0,0.27,0,0.41,0.14,1.23,0,0.55,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
