stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.56,0.28,0,0,0.56,0.56,0,0,0.28,0,0,0
21Day,0.37,0.37,0,0,0,0,0.74,0,0,0,0,0,0.37,0,0.37,0,0
3Month,0,0.31,0.21,0.1,0.1,0,1.56,0.1,0.1,0,0,0.1,0,4.78,0,0.1,2.81
22Month,0,0,0,1.5,0,0,0.41,0,0,0,0,0,0,1.91,0,0.14,0
