stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,2,0,0,0,0,0,0,0,0,1,0,1,22,0,0,0,0,1,14,0,0,0,0,0,0,0,0
72hpf,1.41,0,0.56,0,0,0,0,0,0,0,0,0.28,5.07,0,1.41,0,1.97,0,0,1.13,0.28,0,0.28,0,0,0,0,0,0
21Day,2.22,0,1.11,0.37,0,0.37,0,0,0.74,0,0,2.22,0,0,1.11,0,0,0.37,0,0,0,0,0.74,0.37,0,0,0,0,0
3Month,0.83,0.31,1.35,0,0.21,0,0.62,0,17.37,0.21,0.1,2.5,0.1,0.31,0.31,0.1,0,0.21,0.1,0,0,0,0,0.1,0.31,0,0.1,1.46,0.1
22Month,3.42,0.14,0.55,0,0.14,0,0.68,2.32,34.16,0,0.27,2.19,0,0.14,0.41,0,0.96,0,0,0,0,0.14,0.14,0.27,0.27,0.14,0.14,0,0
