stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0,0,0,0.28,0,0.28,0,15.78,0,0,0
21Day,0.37,0,0,0,0,0.74,0,0.37,0.37,0.37,0,11.84,0,0,0
3Month,0,0,0.31,0.73,0.21,0,0.1,0.21,0.1,0,0,0.94,0.1,0.73,0
22Month,0,0,0,1.37,0,0,0,0,0.14,0,0.14,0,0,0,0.14
