stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,10.71,0.28,0.28,0,0.28,1.13,2.25
21Day,0,0.37,0,0,0,0,0.74,0,0,0,0,0.74,2.22
3Month,0,0,0,0.21,0,0,0,0,0,0,0,0,0
22Month,0.14,0.14,0.14,1.09,0.14,0.27,0,0,0,0.14,0,0,0
