stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.69,1.41,0,0.28,0,0,0,1.97,1.41,0,0,0,0,0,0,0,0,0,0
21Day,0,2.96,0.74,0.37,0,0,0,0,0,0,0,5.92,0,0,0,0.37,0,0,0,1.48,1.48,0,0,0,0,0,0,0,0,0,0
3Month,0.62,8.53,4.78,0,0.21,15.19,1.25,0,4.89,1.98,0.21,232.27,0.52,1.66,0.94,1.98,0.83,0,0.52,17.89,0.21,0,0.42,0.31,0,1.46,2.08,0.1,0.42,7.49,0.94
22Month,0.27,5.88,2.73,0,0,3.83,2.87,1.37,11.34,0,0.14,168.35,0.14,0.55,2.87,0.96,0,0.41,0.41,2.6,0.14,0.14,0.27,0.27,0.14,0.14,0.14,0.14,0.27,0,0.14
