stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,4,94,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.69,0.56,0,2.25,0,2.54,0,0,0,0,0,0,0,0,0.28,0,1.97,3.95,0.85,5.36,0,0,0,54.68,20.86,0.56,0.56,0,6.48,0,0,6.2,0.28,0.85,0,0,0
21Day,2.59,0,0,31.45,0,12.58,0,2.22,0,0,0,0,0.74,0.37,3.7,1.85,1.48,25.9,1.11,12.95,0,0,1.85,18.13,8.14,0.74,0.37,0,2.96,1.48,0,3.7,1.48,1.48,0,0,3.7
3Month,0.31,2.5,0.83,17.99,0.31,0,0.21,0.1,0.1,6.97,4.26,0,13.31,3.22,0.21,8.53,0.73,4.16,5.51,6.76,2.08,0,2.5,1.35,0.21,1.14,0.62,0,0.83,0.52,3.22,0.42,0,0,4.47,0.73,6.66
22Month,0,1.5,0.55,1.78,0,0,0.55,0.14,0,1.78,4.92,0.55,23.78,2.05,0.96,3.14,0.41,0.41,3.01,3.55,0.41,0.14,1.09,0.14,0,0.41,0.14,0.14,0.27,0,0.82,0.41,0,0,0.68,0,1.91
