stage,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,1,0
72hpf,0,0.28,0,0.28,3.38,0,0.28
21Day,0.74,0,0,0,1.11,0,0
22Month,0,0,0.14,0,0,0,0
