stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,7,0,0,0,0,0,0,0,4,0,0,0,0,2,172,0,1,0,0,0,10,0,0,0,0,2,0,0,0
72hpf,2.25,0.28,10.43,0,0.56,0,0.28,0,0,0,0,0,0,0,0,1.13,138.11,0.28,0.85,0,0,6.76,3.66,0,2.25,0.28,0,0,0,0,0
21Day,0,0,17.39,0.37,0.74,0,0,0,0,0,0,0,0,0.37,0,1.11,5.18,0,0,0,0,0.74,0,0,0,0.37,0,0,0,0,0
3Month,0,0,26.73,0,0,0.21,0,0,0.31,0,0,1.87,0.21,0,1.04,1.35,1.04,0.73,0.1,0.1,0.1,0,0,0,0,0.21,0.42,0,0,0.31,0.21
22Month,0,0.14,4.51,0,0,0,0,0.14,1.09,0.14,0,6.29,0.27,0,0.41,0.68,0,0.96,0.55,0,0.14,0.14,0,0.27,0.14,0.14,0.14,0,0.14,0,0
