stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,3.38,0,0,0,5.64,3.38,0.28,0,3.66,0,0,0.85,0.56,0,0,0
21Day,1.85,0,0.37,3.7,0,0.74,0,0.37,0,0,0.74,0,0,0,0.37,0.37,0.37,1.85,0.74,4.81,0,1.11,0,3.33,1.11,0,0.37,1.85,0.37,0,1.48,0,0.74,0,0
3Month,0.1,0.94,0.21,3.85,0.1,0,0.1,0,0.1,0.42,0.62,0,4.89,1.14,0.1,1.46,0.62,1.14,0.52,2.08,0,1.25,0.1,0,0,0.31,0,0.42,0.1,2.08,0,0,2.39,0.31,0.83
22Month,0,0.55,0.14,1.64,0.14,0,0,0,0,0.41,0.82,0.41,17.08,0.14,0,0.68,0.14,0.27,1.09,1.23,0.27,0,0,0,0,0.14,0.14,0,0,0.41,0,0,0,0,0
