stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.56,0.28,0.85,0.28,0,0,0,0,0,0.28,1.41,0,1.97,0,0,121.76,5.64,0,0,2.25,0,0.28,1.13,0,0.28,0,0
21Day,0.37,0,0.37,1.48,0,0.37,0.37,0,0,0,0.37,0,0,1.48,0.74,1.85,0,0.37,58.46,2.96,1.11,0.37,1.11,0.74,0,0.74,0.37,0.37,0,0
3Month,0,0.31,0,0.62,0,0,0,0,0.73,0,0,0.21,0.21,0.94,0.1,2.08,0.31,0,0.94,0,0.31,0,0.1,0,0.52,0,0,0,0.1,0.62
22Month,0,0,0,0,0,0,0,0.14,0.96,0.27,0,0,0,0.14,0,0.55,0,0,0.55,0,0.14,0,0,0,4.92,0,0,0,0,0
