stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0.37,0,0
3Month,0,0.62,0.1,0,0.1,1.35,0.1,0.21,0.1,0.21,0.21,0,0.21,0.1,0,0,0,0.31,0.1,0,0.1,0.21
22Month,0.14,0.14,0,0,0.27,3.14,0,0,0.14,0,0.27,0.41,0,0,0,0,0.14,0,0,0,0,0
