stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0,0
3Month,1.14,0.1,0.73,0.1,0.1,0.1,0.42,0.31,0,0.21,6.45,1.14,0.1
22Month,0,0,0.55,0,0.27,0,0,0,0.14,0,0.14,0,0
