stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0.37,2.59,0,0.37,0.37,0,0,0,0,0,0,0,1.85
3Month,0.1,0.1,0.21,0,0.1,0.1,0.62,0.21,0.73,0.1,0.73,0.21,0,0,0,0.1,0.62,0,0.42,8.32
22Month,0,0.14,0,0,0,0.14,0.82,0,0.41,0,0.27,0.27,0.14,0.14,0,0,0,0.14,0,1.64
