stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0
72hpf,16.07,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.85,0.28,0,0,0.28,0,0,0,0,0,0
21Day,24.79,0.37,0,2.22,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0,0.37,0.37,1.11,0,0,1.11,0.37,0,0.37,0,0,0,0,0,0,0
3Month,0.21,0.21,0,1.98,0,0,0,0.1,0.42,0.21,0,7.91,0.62,0,0.83,0.42,0.73,0.62,1.04,0,0.31,0.21,0,0.21,0,0,0.31,1.66,0,0.21,0.52,0.1
22Month,0.27,0.41,0.27,0.82,0,0.14,0,0,0.14,1.23,0.41,21.32,0.55,0.27,1.37,0,0.41,0.96,0.82,0.68,0,0.14,0.14,0,0.68,0,0.14,0.68,0.27,0,0,0.41
