stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Primordial_germ_cell,Retinal_cell,T_cell
21Day,0,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37,5.55
3Month,0.94,0,0.42,0.1,0.31,0.31,0,0.1,0,0.1,0.1,0.1,0.21,0,7.7
22Month,0.14,0,0.41,0,1.5,0.14,0,0,0,0,0,0,0,0,0
