stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,3.66,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,1.48,0,0,0.37,0,0.37,0.37,0,0,0,0.37,0.37,0,7.4,0,0,1.48,0,0.37,0
3Month,0.42,1.04,0.52,10.09,0.62,0.1,0.21,1.35,3.85,0.1,18.1,6.14,0.62,6.35,1.77,3.22,4.16,6.66,1.04,0,0.73,2.7,1.04,0.31,1.56,0.62,0,0,5.41,0.1,655.1,0.52,0.1,0.31,2.7,326.41,2.39
22Month,0,0,0.27,0.96,0.14,0,0,0.27,0.68,0.82,9.29,0.55,0,2.05,0.14,0.14,0.68,2.46,0,0.27,0,0,0,0,0.27,0.27,0.14,0.14,0,0,59.58,0,0,0,0,1.37,0
