stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,2,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,0.85,0.28,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,13.32,0,0,0.37,0,0.37,0.37,0.37,0.37,0.37,0,4.81
3Month,0,0,0.1,0,0,0,0,0.21,0.1,0.1,0,0.1,0,0,0,0,0,0,0.1,3.74
22Month,0,0,0,0,0.14,0,0.27,0,0,0,0,0.14,0.27,0,0,0,0,0,0,2.87
