stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,1.48,0,0,0.37,0.74,0,0,0,0.37,0,0,0,0.37,0.37,0.37,0,0,0,0,0,0.74,0,0.74,0.37,1.11,0,0,0,0
3Month,0,0,0.1,0.52,0,0.1,0.1,0.1,0.1,7.39,0.1,0.1,0.1,0.1,0.21,0.1,0.1,0.1,0.21,0.1,0.1,0.31,0.1,0.31,5.93,0,0.21,9.15,0.21
22Month,0,0.27,0,0.27,0,0,0,0,0.41,3.83,0.14,0,0,0.27,0.14,0,0,0,0,0,0,0.27,0,0,0.14,0.14,0,0,0
