stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0.85,0,1.41,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0.37,0,3.7,0.74,1.48,0,2.22,0,0.37,0.37
3Month,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0
22Month,0,0,0,0,0.14,0.27,0,0,0.14,0,0,0,0.14,0,0,0,0
