stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0.28,0.28,0,0.56,0,0,0,16.35,0.85,0,0.28,0.28,0,0,0
21Day,0.74,0.74,0.74,0,2.59,0,0.74,14.43,0.74,0,0.74,1.48,0.74,0,0
3Month,0,0.21,0,0.1,0.21,0,0,0.1,0,0.1,0,0,0,0.31,0.21
22Month,0,0,0,0,0.27,0.14,0,0,0,0,0,0,0,0.27,0
