stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,1.13,9.3,0,1.13,0,0.56,0,0.28,1.13,0.28,0,0,0,1.41,0,0,0,0,0,0,0,0,0
21Day,1.11,0.74,0,34.04,1.11,0,0,0,0,0,0,1.85,0,1.11,0,1.48,30.34,1.11,3.7,0,0,1.48,0,4.81,0,0,0.37,0,2.22,0.74,0,0,0,0.74,1.11,0,0,0
3Month,0,1.14,0,13,0,0,0.1,0.42,0.62,0,0,34.12,0.83,0.1,5.41,0.94,4.16,1.46,3.22,0.62,0,0.21,1.25,0.42,0.1,0.83,0.31,0,0,0.73,0.52,0,0,0,0,1.87,0.42,1.46
22Month,0.14,0.55,0.27,3.55,0,0.14,0,0.27,0.82,4.65,0,47.69,0.68,0.27,5.6,0.14,0.41,1.09,1.64,0,0.82,0.27,0.14,0.14,0.14,0.68,0.27,0.14,0,0.27,0.27,0.27,0.27,0,0,0,0,0.27
