stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,144,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.97,0,0.85,0.28,0,0,0,0,0,0,0,0,0,1.41,0.28,0,3.66,0,0,0,0,5.36,1.41,0.28,0,9.02,0,0,0.28,0,0,0,0,0
21Day,1.85,2.59,2.22,0.37,0,0,0,0,0,0.37,0,0.37,0.37,0,0.74,0.37,37,0,0,0,0,2.96,3.33,0.74,0,20.35,1.48,0,0.74,0.37,0.37,0,0,0.37
3Month,0.1,5.41,4.26,0,0,0.1,2.5,1.56,0.1,1.77,0.42,0,1.25,0.31,0.21,0.83,24.24,0.21,0.1,0.52,0.1,0.1,0,0.73,0.1,0,0.21,1.25,0,0,0,0.42,1.25,0.21
22Month,0,8.88,1.09,0,0.27,0,0.96,0.41,0.14,2.19,0.27,0.14,0.96,0,0,0.27,12.03,0,0,0.27,0,0,0,1.09,0.14,0,0,2.19,0,0,0,0,0,0
