stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage
21Day,0,0.37,0,0,0,1.11,0
3Month,0,0.1,0,0,0,0,0.1
22Month,0.14,0,0.14,0.27,0.82,0.27,0
