stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Osteoblast,Pancreatic_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,0,1.11,0,0,0
3Month,0.31,0.42,0,0,0,0.1,1.46,0.1
