stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0.28,0
21Day,8.14,0.74,0.37,0,0,0,0,0,1.11,5.55,0,1.11,0.37,0,0,0
3Month,9.67,0,0.21,0.62,0.1,0.1,0.42,0.73,0.62,0.52,0.1,0.1,0,0.42,0,0.31
22Month,1.78,0,0,0.14,0.14,0,0,0,0,0.41,0.14,0,0,0,0,0
