stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,0,0,0,0.85,1.41,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0.74,0,0,0.74,0,0,3.7,0,0.37,7.03,0,0,0.74,0,0.37,0.37,0,1.85,1.48,0,0.37,0.74,1.85,0,0.37,0.37,0.74,0,0,0.37
3Month,0,0.21,0.94,3.22,0.62,0,0.83,0.42,132.1,1.25,0,20.6,0.83,1.14,0.73,0.21,0.1,0.42,1.25,0.1,0,0.31,0.21,0,1.98,0.83,0.1,0,0,0.21,0.21,0.21
22Month,0.14,0.55,0.41,1.64,0.68,0,0.27,0.68,161.79,0.14,0.14,9.02,0.55,0,0.96,0,3.14,0.27,0.14,0.14,0,0,0.27,0,0.27,0.14,0.41,0,0,0,0,0
