stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.13,0,0,0,0,0,0,0
21Day,0.37,0,0.37,0.37,0.37,0,0,1.11,0,17.39,0,1.48,0.37,0,0.37,1.48,2.59,0.37,0.74,2.59,0.74,0,1.11,0,0.37
3Month,0,0,0.21,0.83,0,0.73,0.21,0.31,0,37.24,0.1,0,0.52,0.1,0.42,0.42,0.31,0,0,0,0,0.1,0.31,0.21,0.62
22Month,0,0.14,0,0,0,0,0,0,0.27,11.75,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
