stage,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,1.97,0.56
21Day,0,0,0,1.85,0
3Month,0.21,0,0,0,0
22Month,0,0.14,0.14,0.14,0
