stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,13,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0.56,0,0.85,0,0,0,0,0,0,0,0.28,0,0.56,1.97,0.56,2.82,0,0.56,0.28,0,168.55,9.86,1.97,0.28,1.69,0,0,1.41,0,0,0,0,0
21Day,2.96,0.74,0.37,1.85,0.37,2.22,0,0.37,0,0,0,0.74,0.37,0,1.48,0,1.11,0,2.22,0,0,0,0,103.97,3.7,2.59,0.37,2.22,1.48,0,0.74,0.74,0.37,0,0,0
3Month,0.1,0.1,0.21,1.25,0,0,0.1,0.21,0.42,0,0,5.72,0.42,0.1,0.94,0,0.21,0.62,0.73,0.21,0,0.21,0.83,1.46,0,3.22,0.21,0.1,0.31,3.43,0.21,0,0,0.21,3.74,0.1
22Month,0,0.27,0.14,0.82,0,0,0.14,0.68,0.68,0.41,0,13.39,0.55,0.14,0.68,0,0.14,0.96,0.41,0,0.27,0.27,0,0.82,0,2.6,0,0,0.14,1.5,0,0,0,0,0,0.14
