stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0.56,0,1.97,0,0,4.51,3.1,0,0.28,0,0,0.85,0.28,0.28,0,0,0
21Day,0.37,0,0,0.74,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0,1.11,0,0,0,2.59,0,1.11,1.48,0,0,0,0,0,0,0.74
3Month,0,0,0.1,1.77,0,0,0.1,0.1,0.42,0,1.87,0.52,0,0.73,0,0.42,0.42,0.73,0.1,0.1,0,0,0.1,0,0.1,1.98,0,0,0,0.42,0.42,0.62
22Month,0,0.14,0,0.14,0,0,0,0,0.14,0.14,0.96,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
