stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.85,0,0.28,0,0,0,0,0,0,0,0,0.56,30.44,0.85,0,1.41,0,0,0,0,9.58,3.1,0.28,0,0,0.85,0,0,0,0.85,0,0,0,0,0
21Day,0.37,0,6.29,11.47,0,0.37,0,0,4.07,0,0,0.74,0,0.74,15.54,0.37,1.85,0.37,1.48,0,0,0.74,0,4.44,2.59,0.74,0,0,0.37,0.74,0,0.74,0,0.37,0.37,0,0,0
3Month,0.42,1.66,20.49,142.82,0.21,0,1.98,0.31,114.42,3.22,0,27.04,5.93,0.52,386.63,2.6,5.62,10.82,4.89,1.46,0.31,5.41,1.46,2.29,0,28.19,0.31,0,0.1,4.68,0.21,18.72,0.62,0,0,1.56,17.37,3.54
22Month,0.41,3.83,23.91,68.87,0,0,0.82,0.27,60.95,3.42,0.55,28.01,2.32,0.14,226.29,0.68,1.23,4.37,5.6,0.14,1.78,4.51,0.14,0.14,0.14,20.77,1.09,0.41,0,0.14,0,2.19,1.23,0.27,0,0,0,1.09
