stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.69,0,0.56,0,0,0,0,0,0,0,2.25,33.26,0,2.25,0,0.28,1.13,0,10.71,2.25,1.13,0.56,0,0,0.28,0.28,0.28,0.56,0,0
21Day,1.11,0,0,18.13,0.37,1.11,0.37,0,0,0,0,1.11,0.37,0,12.21,0.37,4.81,0,0,45.51,0,4.44,0,0.37,1.11,1.11,0.37,0.37,0,0.37,0.37,0,0
3Month,0,0.1,0.1,12.48,0,0,0,1.46,0.21,2.39,0.21,0.1,4.89,0.52,1.25,0.73,1.14,0.1,0,1.04,0.21,0.1,0,4.89,0,0.31,3.95,0.1,0,0,0,4.06,0.21
22Month,0,0.14,0,2.46,0,0,0,0.14,0.14,3.28,0,0,8.2,0,0,0.55,3.42,0,0.14,0.68,0,0,0,2.19,0,0.14,1.91,0,0,0,0,0,0
