stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,1,0,0,0,0,0,2,1,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0.28,0,0,5.07,2.54,0,0,1.69,0,0,0.28,0.85,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0.74,0,0,0.37,0,0.37,0,0,0,0,2.59,3.33,0,0,0.37,0.37,0,0.37,0.37,0.37,0
3Month,0,0.1,1.04,0.1,0,0.21,0.73,0,1.87,0.73,0,0.73,0,0.21,0.62,0.31,0.1,0.1,0.31,0.1,0.21,0,0.21,0.1,0,0.31,10.82,0,0,7.18,0.42
22Month,0.27,0,0.27,0.14,0,0,0.14,0,3.01,0.41,0.14,0.14,0.14,0,0.27,0.41,0,0,0.14,0,0,0.14,0,0,0.14,0,0,0,0,0,0.27
