stage,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,4,0,0,2,0,0,1,2,0,0,0,3,0,0,0,0,0
72hpf,1.13,0,0,0,0,0,0.56,5.64,0,0,3.95,1.97,0,0,0,0.56,0
21Day,5.18,0.37,0,0,0,0.37,0,1.11,0.37,0,11.47,0.37,0.37,0.37,0,0,0.37
3Month,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
22Month,0.41,0,0.27,0,2.73,0,0.27,0,0,0.27,0,0,0,0,0,0,0
