stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,4,0,0,0,1,9,0,3,0,0,0,0
72hpf,0,0.56,0.28,0,3.1,0.85,0.56,0.85,0.56,0.28,0,0,0.28
21Day,2.22,1.11,0,0,0,0,0.37,1.85,0,0,0.37,0.37,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0.42,0
22Month,0,0.14,0,0.41,0,0.14,0.14,0.14,0,0,0,0.27,0
