stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,1,0,10,0,0,0,0,0,0
72hpf,0,0,0,0,0.85,1.69,1.13,0.56,0,0,0,0,0
21Day,0.37,0,0,0,0.37,1.48,0.37,0.37,0,0,0.37,0,0
3Month,0,0.31,0.21,0.1,0.1,0,0,0.1,0.21,2.81,0,0.94,0.1
22Month,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0
