stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,0,1,0,0,0,1,0,0,1,3,266,0,0,0,0,0,1
72hpf,0.85,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,19.17,15.22,0,3.1,0,0,1.69,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,1.85,1.48,0,4.07,0.37,0,0.74,0
3Month,0,0,0.21,0,0,0,0,0.1,0.21,0.1,0,0,0.21,0,0,0,0,2.5,0,0,0,0
22Month,0,0,0.14,0.14,0.27,0.14,0,4.37,0.14,0,0,0,0,0,0,0,0.14,2.19,0,0.68,0,0
