stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0.28,0,0,0.56,0.28,0,0,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0
3Month,0.1,0.21,0.31,0,0,0.1,0,0.1,0.1,0,0,0,0.21,0,0,1.46,0,0.1,0.52
22Month,0,0,0.55,0.14,0,0,0.14,0.14,0,0.14,0.14,0,0,0.14,0.14,1.78,0,0,0
