stage,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,13,0,0,0
72hpf,0,0,0,2.54,1.13,0,0,0
21Day,0,0,0,0.37,1.48,0,0.37,0
3Month,0.1,0.1,0.1,0,0,0.62,0,0.31
