stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.28,0,0.85,1.69,1.13,0,0,0,0,0,0,0,0,0,0,0,3.95,0,3.66,0,0,246.34,6.48,1.41,2.54,0,2.54,0,1.41,2.82,0.28,0.28,0.28,0,0,0
21Day,0,0,0,6.29,0,1.85,0,0,0,0,0,0,0.37,0,0.74,0.37,0,1.48,0,7.03,1.11,0,103.97,4.44,0,1.48,0,0.74,2.22,5.18,1.48,1.11,1.11,0,0,0,0.37
3Month,0.21,0.21,0.1,3.74,0.83,0,0.1,0.21,0,0.21,0.62,0,2.91,1.56,0.21,0.94,0.42,0.42,0.73,3.74,0.31,0.21,10.71,0.21,3.02,1.04,0,0.1,0.94,104.54,0.31,0,0,0,0.1,18.1,1.35
22Month,0.82,0.14,0,1.23,0.14,0,0,0,0.14,0,0.27,0,3.14,0.27,0.55,0.41,0.14,0,0.55,2.19,0.27,0,6.29,0.27,1.09,1.09,0.14,0.14,0.14,22.27,0.96,0,0,0,0,0,0.27
