stage,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,2,0,0
72hpf,0,0,0,0.56,0,0,0
3Month,0.1,0.42,0.1,0,0,0.94,0.31
22Month,0,0.14,0,0,0,0.27,0
