stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0
72hpf,3.66,0.28,0.85,2.54,0,0,0,0,4.23,0.56,1.97,365.84,9.58,0.28,1.97,4.79,0,2.25,0
21Day,1.48,0,1.48,2.59,0.74,0,0,0.37,0,0.74,2.22,128.39,2.96,0.37,1.11,0.74,4.07,0.74,0.37
22Month,0,0,0,0,0,0.41,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0
